seed,alpha,w,fid,erank
0,0.0,-0.5,12.193238847791454,3.834241538822651
0,0.0,-0.4,9.666813873352197,3.834241538822651
0,0.0,-0.3,7.827728187709165,3.834241538822651
0,0.0,-0.19999999999999996,5.847411815288097,3.834241538822651
0,0.0,-0.09999999999999998,4.808996704564647,3.834241538822651
0,0.0,0.0,3.6191370275084704,3.834241538822651
0,0.0,0.10000000000000009,3.1009144521778333,3.834241538822651
0,0.0,0.20000000000000007,3.4651316325396415,3.834241538822651
0,0.0,0.30000000000000004,5.084848380105384,3.834241538822651
0,0.0,0.4,9.120081835363756,3.834241538822651
0,0.0,0.5,16.520618560076656,3.834241538822651
0,0.0,0.6000000000000001,26.969553702245367,3.834241538822651
0,0.0,0.7000000000000002,40.716240944202845,3.834241538822651
0,0.0,0.8,55.23277515051437,3.834241538822651
0,0.0,0.9000000000000001,78.9295805961295,3.834241538822651
0,0.0,1.0,98.56178460351624,3.834241538822651
0,0.0,1.1,119.99308251800927,3.834241538822651
0,0.0,1.2000000000000002,144.23524917551902,3.834241538822651
0,0.0,1.3,168.21265064702393,3.834241538822651
0,0.0,1.4000000000000001,187.2967512386345,3.834241538822651
0,0.0,1.5,206.2480690063333,3.834241538822651
1,0.0,-0.5,12.17145274497104,3.842056559920311
1,0.0,-0.4,10.250321132844368,3.842056559920311
1,0.0,-0.3,7.903314941565916,3.842056559920311
1,0.0,-0.19999999999999996,6.643247591023098,3.842056559920311
1,0.0,-0.09999999999999998,4.912199687971216,3.842056559920311
1,0.0,0.0,3.6178227501970817,3.842056559920311
1,0.0,0.10000000000000009,3.043111033979624,3.842056559920311
1,0.0,0.20000000000000007,3.3941758023116995,3.842056559920311
1,0.0,0.30000000000000004,5.680090359036204,3.842056559920311
1,0.0,0.4,9.269571787301121,3.842056559920311
1,0.0,0.5,17.16555694901352,3.842056559920311
1,0.0,0.6000000000000001,27.407756745808207,3.842056559920311
1,0.0,0.7000000000000002,42.819958346229804,3.842056559920311
1,0.0,0.8,58.9113666194081,3.842056559920311
1,0.0,0.9000000000000001,80.14854917455044,3.842056559920311
1,0.0,1.0,102.70496764479037,3.842056559920311
1,0.0,1.1,128.14679364115463,3.842056559920311
1,0.0,1.2000000000000002,154.41954325076108,3.842056559920311
1,0.0,1.3,178.86629601477145,3.842056559920311
1,0.0,1.4000000000000001,204.39003688302358,3.842056559920311
1,0.0,1.5,226.88405230871132,3.842056559920311
2,0.0,-0.5,12.666395128774575,3.850405577778816
2,0.0,-0.4,11.06697631072606,3.850405577778816
2,0.0,-0.3,9.092463637351937,3.850405577778816
2,0.0,-0.19999999999999996,6.289320824520204,3.850405577778816
2,0.0,-0.09999999999999998,5.202983442578497,3.850405577778816
2,0.0,0.0,3.352298176567598,3.850405577778816
2,0.0,0.10000000000000009,3.162362478942817,3.850405577778816
2,0.0,0.20000000000000007,3.850168324877816,3.850405577778816
2,0.0,0.30000000000000004,7.53055231703608,3.850405577778816
2,0.0,0.4,13.922955342653674,3.850405577778816
2,0.0,0.5,22.57482532301932,3.850405577778816
2,0.0,0.6000000000000001,37.17869690117429,3.850405577778816
2,0.0,0.7000000000000002,52.83343100899198,3.850405577778816
2,0.0,0.8,71.27562399656397,3.850405577778816
2,0.0,0.9000000000000001,91.9227840291405,3.850405577778816
2,0.0,1.0,116.03164756932296,3.850405577778816
2,0.0,1.1,135.31134106102863,3.850405577778816
2,0.0,1.2000000000000002,158.34529364219475,3.850405577778816
2,0.0,1.3,180.6167917357763,3.850405577778816
2,0.0,1.4000000000000001,199.21139105508854,3.850405577778816
2,0.0,1.5,216.91221760176813,3.850405577778816
0,0.05,-0.5,12.553939124878198,3.6964330607056617
0,0.05,-0.4,9.94090857687035,3.6964330607056617
0,0.05,-0.3,8.017537478958369,3.6964330607056617
0,0.05,-0.19999999999999996,5.97136792600595,3.6964330607056617
