seed,alpha,w,fid,erank
0,0.0,-0.5,4.653359489028896,3.834241538822651
0,0.0,-0.4,3.9258555021494086,3.834241538822651
0,0.0,-0.3,3.608462793747246,3.834241538822651
0,0.0,-0.19999999999999996,3.67053694946088,3.834241538822651
0,0.0,-0.09999999999999998,3.3459735092829113,3.834241538822651
0,0.0,0.0,3.1560024184442796,3.834241538822651
0,0.0,0.10000000000000009,3.596943858592005,3.834241538822651
0,0.0,0.20000000000000007,3.418369413584882,3.834241538822651
0,0.0,0.30000000000000004,3.3005950621665123,3.834241538822651
0,0.0,0.4,3.381464616058576,3.834241538822651
0,0.0,0.5,3.298447672905678,3.834241538822651
0,0.0,0.6000000000000001,3.6582353192552626,3.834241538822651
0,0.0,0.7000000000000002,3.8660251846484406,3.834241538822651
0,0.0,0.8,4.086368358213745,3.834241538822651
0,0.0,0.9000000000000001,4.330545953763734,3.834241538822651
0,0.0,1.0,4.683578431653034,3.834241538822651
0,0.0,1.1,5.225969386672171,3.834241538822651
0,0.0,1.2000000000000002,5.363589989175922,3.834241538822651
0,0.0,1.3,6.050086642649012,3.834241538822651
0,0.0,1.4000000000000001,6.6573982501403135,3.834241538822651
0,0.0,1.5,6.816553519007001,3.834241538822651
0,0.05,-0.5,4.538411655785718,3.6964330607056617
0,0.05,-0.4,3.8608085629151567,3.6964330607056617
0,0.05,-0.3,3.5637206584166012,3.6964330607056617
0,0.05,-0.19999999999999996,3.649959235392483,3.6964330607056617
0,0.05,-0.09999999999999998,3.339641557791837,3.6964330607056617
0,0.05,0.0,3.1560024184442796,3.6964330607056617
0,0.05,0.10000000000000009,3.5989006533575765,3.6964330607056617
0,0.05,0.20000000000000007,3.4247780929815326,3.6964330607056617
0,0.05,0.30000000000000004,3.2799586985867952,3.6964330607056617
0,0.05,0.4,3.3769653030275704,3.6964330607056617
0,0.05,0.5,3.278075734159461,3.6964330607056617
0,0.05,0.6000000000000001,3.70865675595458,3.6964330607056617
0,0.05,0.7000000000000002,3.9351993038776483,3.6964330607056617
0,0.05,0.8,4.100831377726647,3.6964330607056617
0,0.05,0.9000000000000001,4.382408503607177,3.6964330607056617
0,0.05,1.0,4.786747035785277,3.6964330607056617
0,0.05,1.1,5.344728785124696,3.6964330607056617
0,0.05,1.2000000000000002,5.503873657416812,3.6964330607056617
0,0.05,1.3,6.350841810983541,3.6964330607056617
0,0.05,1.4000000000000001,6.792616090500583,3.6964330607056617
0,0.05,1.5,7.140799523086639,3.6964330607056617
0,0.1,-0.5,4.547775113820525,3.5546732855439185
0,0.1,-0.4,3.878864943343486,3.5546732855439185
0,0.1,-0.3,3.5770644528769076,3.5546732855439185
0,0.1,-0.19999999999999996,3.66046453266683,3.5546732855439185
0,0.1,-0.09999999999999998,3.348419550129105,3.5546732855439185
0,0.1,0.0,3.1560024184442796,3.5546732855439185
0,0.1,0.10000000000000009,3.586036745555224,3.5546732855439185
0,0.1,0.20000000000000007,3.3990459895714826,3.5546732855439185
0,0.1,0.30000000000000004,3.249390653714315,3.5546732855439185
0,0.1,0.4,3.349873846252831,3.5546732855439185
0,0.1,0.5,3.2539100017559512,3.5546732855439185
0,0.1,0.6000000000000001,3.6919937155422664,3.5546732855439185
0,0.1,0.7000000000000002,3.929518237449587,3.5546732855439185
0,0.1,0.8,4.079982241915807,3.5546732855439185
0,0.1,0.9000000000000001,4.445481779932853,3.5546732855439185
0,0.1,1.0,4.895101744355505,3.5546732855439185
0,0.1,1.1,5.485193255305886,3.5546732855439185
0,0.1,1.2000000000000002,5.790189537742259,3.5546732855439185
0,0.1,1.3,6.673112924941017,3.5546732855439185
0,0.1,1.4000000000000001,7.185806149579328,3.5546732855439185
0,0.1,1.5,7.6505204415863535,3.5546732855439185
0,0.2,-0.5,4.560794560673875,3.2627579431533813
0,0.2,-0.4,3.9059464384734928,3.2627579431533813
0,0.2,-0.3,3.5669141062068435,3.2627579431533813
0,0.2,-0.19999999999999996,3.66925205654988,3.2627579431533813
0,0.2,-0.09999999999999998,3.3495819315997686,3.2627579431533813
0,0.2,0.0,3.1560024184442796,3.2627579431533813
0,0.2,0.10000000000000009,3.5935176053335613,3.2627579431533813
0,0.2,0.20000000000000007,3.413095611397367,3.2627579431533813
0,0.2,0.30000000000000004,3.274735335932252,3.2627579431533813
0,0.2,0.4,3.4313751694771,3.2627579431533813
0,0.2,0.5,3.3836555786269917,3.2627579431533813
0,0.2,0.6000000000000001,3.943905413525245,3.2627579431533813
0,0.2,0.7000000000000002,4.247300647186236,3.2627579431533813
0,0.2,0.8,4.465104917434773,3.2627579431533813
0,0.2,0.9000000000000001,4.898556655639197,3.2627579431533813
0,0.2,1.0,5.604787550929862,3.2627579431533813
0,0.2,1.1,6.372374427365967,3.2627579431533813
0,0.2,1.2000000000000002,6.803511706405649,3.2627579431533813
0,0.2,1.3,7.966125014533116,3.2627579431533813
0,0.2,1.4000000000000001,8.658118838850502,3.2627579431533813
0,0.2,1.5,9.347234168169122,3.2627579431533813
0,0.3,-0.5,4.543310589555585,2.9648207514286042
0,0.3,-0.4,3.905771838244513,2.9648207514286042
0,0.3,-0.3,3.5487107277766716,2.9648207514286042
0,0.3,-0.19999999999999996,3.675993826549324,2.9648207514286042
0,0.3,-0.09999999999999998,3.355244449186462,2.9648207514286042
0,0.3,0.0,3.1560024184442796,2.9648207514286042
0,0.3,0.10000000000000009,3.5995249932399167,2.9648207514286042
